Fairfield Seniors' Centre,Room 2 - Multipurpose (C),Room - C,West District
Oakcrest Parkette,Wading Pool,Pool-Wading,South District
Beaches Recreation Centre,Back Field 2,Field,South District
Oakdale Park MS,Summer Camp Location,Room-School,North District
Parkway Forest Community Centre,Meeting  Room #1 (B),Room - B,North District
West Deane Park,AIR - Martin Grove Rink,Rink-Outdoor,West District
Holy Redeemer CSS,Summer Camp Location,Gymnasium,North District
Cedarbrook Community Centre,Room 2 (C),Room - C,East District
Ellesmere Community Centre,Craft Room (C),Room - C,East District
Wellesley Community Centre,Weight Room,Room-Fitness/Weight,South District
Hollycrest CS,Classroom 1,Room-School,West District
Pine Point Park - Outdoor Pool,Pool (A)-Outdoor,Pool - Outdoor - A,West District
Norseman Community School And Pool,U.A. Room,Room,West District
Humberwood Community Centre,Room 1017 (B),Room - B,West District
Terry Fox ES,Gym,Gymnasium,East District
Dennis R.Timbrell Resource Centre,Room 3 (C),Room - C,North District
Claireville Day Camp,Youth Area,Campground,West District
John Innes Community Recreation Centre,Pool DE1,Pool - Indoor - C,South District
Carmine Stefano Community Centre,Room 209 - Dance Studio (C),Room - C,West District
Stephen Leacock Seniors Community Centre,Kitchen (B),Kitchen,East District
Pelmo Park Community Centre,Meeting Room 2 (B),Room - B,West District
Bendale Business Technical Institute,Pool DE2,Pool - Indoor - A,East District
Secord Community Centre,Gym - Upstairs (C),Room - C,South District
Bloordale Community School,Gym 2,Gymnasium,West District
Bloordale Community School,Classroom 101,Room-School,West District
St. Nicholas CS,Gymnasium,Gymnasium,East District
Blessed Kateri Tekakwitha CSS,Gym,Gymnasium,North District
Dovercourt Park,Wading Pool,Pool-Wading,South District
Norseman Community School And Pool,Pool (B) - SE1,Pool - Indoor - B,West District
Toronto Pan Am Sports Centre,Gymnasium 2,Gymnasium,East District
Roding Community Centre,Multipurpose Room (B),Room - B,North District
Lawrence Heights Community Centre,Room 5 (C),Room - C,North District
Ramsden Park,AIR - Rink 1 (A) (boards),Rink-Outdoor,South District
Milliken Park Community Recreation,Preschool (C),Room - C,East District
Rosedale Park,AIR - Rink,Rink-Outdoor,South District
Antibes Community Centre,Parking Lot,Parking Lot,North District
Thistletown Seniors' Ctr,Unified Arts Room,Room-Craft,West District
Rivercrest Rink,AIR - Rink,Rink-Outdoor,West District
Don Montgomery Community Centre,Snack Bar Area (B),Room - B,East District
Main Square Community Centre,Pool (B),Pool - Indoor - B,South District
McGregor Park Community Centre,Kitchen (INACTIVE),Kitchen,East District
