Earl Bales Ski and Snowboard Centre,M3H 3P7,10
Iroquois JES,M1S 2S6,41
Markdale Preschool Site,M6C 1T3,21
Glen Ravine Park,M1K 4P7,37
Leaside Memorial Gardens Pool,M4G 1X6,26
Royalcrest Rink - Outdoor Artificial Ice,M9W 5A3,1
Gracedale Public School,M9L 2C1,7
Rexlington Park,M9W 1V9,2
Weston CI,M9N 2Y9,11
Annette Community Recreation Centre,M6P 1B3,13
Regent Park North,M1P 4N7,28
West Rouge Community Centre,M1C 2Z1,44
Matty Eckler Recreation Centre,M4M 1Z4,30
Monarch Park,M4J 1G3,30
Victoria Park SS,M3A 2V1,34
Islington CS,M9A 2H5,5
Scarborough Village Recreation Centre,M1M 1R9,36
Ashtonbee Reservoir Park,M5H 2N2,37
Campbell Avenue Playground,M1P 4N7,18
Centennial Rd  JES,M1C 2A2,44
Blantyre Park,M1N 2T6,36
Sir Casimir Gzowski Park,M6S 5A3,13
Spencer - Cowan Parkette,M6K 2J6,14
Fenside Arena,M3A 2C4,34
Westway Outdoor Rink,M9P 2C2,4
Thistletown Community Centre,M9V 1A6,1
Joseph Bannon Park,M9C 2Y2,7
West Deane Park - Outdoor Pool,M9B 2X2,3
West Deane Park,M9B 4M1,3
Don Mills CI,M3C 1X6,34
West Hill Collegiate Institute,M1E 3G3,43
Carmine Stefano Community Centre,M9M 2S7,7
Glen Ravine JES,M1K 4V4,37
Amesbury Park,M6L 1A8,12
Wellesley Community Centre,M4X 1K7,28
Gord And Irene Risk Community Centre,M9M 3A3,7
Avondale Public School,M2N 2V4,23
Lambton Arena,M6S 2T7,13
Beaches Recreation Centre,M4E 1K5,32
Vaughan Road Academy,M6C 2R1,15
The Elms Community School,M9W 2H8,2
Queensway Rink - Outdoor Artificial Ice,M8Z 3X3,5
Baycrest Arena,M6A 1X4,15
St. Nicholas CS,M1J 2P7,38
Jimmie Simpson Park,M1P 4N7,30
Banbury Community Centre,M3B 2L3,25
Horner Ave Seniors Centre,M8W 1Z3,6
Jimmie Simpson Recreation Centre,M4M 3G9,30
Beverly Glen Elementary School,M1W 1W4,39
Oakdale Park MS,M3N 1J5,9
Baycrest Park,M6A 1K4,15
Gus Ryder Pool And Health Club,M8V 3L9,6
Greenwood Park,M4L 2P8,30
Jack Goodlad Centre,M1K 2E8,37
Marjory Carton Apts,M5M 4M8,16
Esther Shiner Stadium,M2R 3W2,10
Moorevale Park,M4T 1V8,27
George Webster ES,M4B 2N9,31
Albion Arena,M9V 1B2,1
Tall Pines Community Centre,M1B 4X3,44
CW Jefferys Collegiate Institute,M3J 1T9,8
Earl Bales Community Centre,M3H 3P7,10
Mel Lastman Square,M2N 5V7,23
Cedar Drive JES,M1J 3G4,36
Charlottetown JES,M1C 2C7,44
Columbus Parkette,M6R 1W7,14
Yorkwoods PS,M3N 1K1,8
Goulding Community Centre,M2M 1K8,23
Cummer Park Community Centre,M2H 1J9,24
Dentonia Park,M4C 5G5,31
Sunnydale Acres Park,M9W 4S3,2
St. Martin de Porres CSS,M1E 3E1,43
Sherwood Park,M4P 2A8,25
Secord Community Centre,M4C 4Y9,31
Budapest Park,M6S 5A3,14
Smithfield Park - Outdoor Pool,M9V 2E3,1
Burrows Hall Community Centre,M1B 5Z6,42
Sir Sandford Fleming Academy,M6A 2L3,15
Habitant Arena,M9M 2V9,7
St. Maurice CS,M9R 1T7,2
Oakcrest Parkette,M4C 1B4,32
Weston Lions Park,M9N 1H7,11
Rosedale Park,M9W 2Y3,27
Roywood Park RC,M3A 2C6,34
Roywood Park,M3A 2C6,34
Grandravine Community Recreation Centre,M3J 1B3,9
Agnes Macphail Junior Elementary School,M1V 1W5,41
Centennial Recreation Centre-Scarborough,M1H 2W5,38
Malvern Recreation Centre,M1B 3G5,42
Carlton Park,M6P 3T5,18
Kidstown Water Park,M1W 3K3,39
Trace Manes Park,M4G 1P2,26
Rotary Peace Park - Outdoor Pool,M8V 3G2,6
Riverdale Park East,M4K 2P1,30
Fairhaven Park - Outdoor Pool,M9P 3M2,2
Amesbury Sports Complex,M6M 4K6,12
Valleyfield Park,M9P 2B4,4
Otter Creek Centre,M4R 1S8,16
Nathan Phillips Square,M5H 2N2,27
DA Morrison Junior High School,M4C 4L2,31
Heron Park Community Centre,M1E 3V4,44
West Hill Public School,M1E 3G1,44
Scadding Court Community Centre,M5T 2W6,20
St. Leonard's Church,M4N 1V5,25
Thomson Memorial Park,M1P 3E8,38
Knob Hill Park,M1J 1B8,38
George Syme CS,M6N 1T6,11
Barbara Frum Community Centre,M6A 3C1,15
Sunnydale Acres Rink - Outdoor Artifical,M9W 4S3,2
John G. Althouse CS,M9B 5K1,3
Ourland Community Centre,M8Z 4C9,6
Giovanni Caboto,M6E 1C5,17
Norwood Park,M4E 2R8,32
Don Montgomery Community Centre,M1K 2R1,35
Ryerson Community Park,M1P 4N7,27
Curran Hall Community Centre,M1G 3T4,43
Northwood Community Centre,M3L 2L7,9
Regina Mundi CS,M6B 2P9,15
General Mercer School,M6N 1P8,17
Kiwanis Outdoor Pool,M4C 4K7,31
Stephen Leacock Seniors Community Centre,M1T 2M5,40
Kingsview Park,M9R 1T7,2
George Harvey Collegiate Institute,M6M 3W5,12
Claireville Day Camp,L6R 1A1,1
St. Isaac Jogues CSS,M3A 1Z8,34
Emery Collegiate Institute,M9M 2V9,7
Sir Oliver Mowat Collegiate Institute,M1C 2C6,44
Immaculate Conception CS,M6M 2K9,12
Sir Adam Beck Park,M8W 2C2,6
Thistletown Seniors' Ctr,M9V 1A6,1
Mimico Memorial Park,M4K 2M6,6
Amesbury Community Centre,M6L 1A8,12
Sorauren Avenue Park,M6R 2G6,14
Moss Park,M5A 2R6,27
Matty Eckler Playground,M4M 1Z4,30
Wexford Collegiate Institute,M1R 2H7,37
Jenner Jean-Marie Community Centre,M4H 1J7,26
Samuel Hearne Sr ES,M1L 4N7,35
Mimico Centennial Public Library,M8V 2R1,6
Sunnybrook Park,M1P 4N7,25
Kew Gardens,M4L 1J1,32
Gordon A Brown Middle School,M4B 1N2,31
Bloordale United Church,M9C 1Z7,3
J.R.Wilcox JES,M6C 1X3,21
Falstaff Community Centre,M6L 2C7,12
Wadsworth Park,M6N 1E7,17
Swansea Community Recreation Centre,M6S 4Z9,13
Lithuania Park,M1P 4N7,13
Edgehill House,M9A 4N1,4
North Toronto Memorial Community Centre,M4R 1A7,16
Livingstone Park,M4K 2J5,29
Victoria Village PS,M4A 1T7,34
Lord Roberts JES,M1K 3W5,37
Albert Campbell Square,M1P 4N7,38
Don Valley JH,M2J 3C3,33
St. Augustine CSS,M3N 1S9,8
Central Arena,M8X 1Z4,5
Victoria Village Arena,M4A 1Y1,34
Runnymede Park,M6N 1H6,11
Earl Bales Park,M3H 3P7,10
Agincourt Recreation Centre,M1S 2B7,41
Fairmount Park,M4L 2B3,32
Hideaway Park,M4M 1P5,30
Fairfield Seniors' Centre,M8Z 4K5,5
St. Robert CSS,M3H 2K2,10
Rivercrest Rink,M9W 4C9,2
Dentonia Park Golf Course,M4C 5S8,35
Cedarbrook Jr PS,M1J 2V6,38
Oriole Park - Toronto,M5P 2H4,22
St. Teresa Shrine CS,M1M 1M2,36
Northlea ES,M4G 1R4,26
Fairmount Park Community Centre,M4L 3J2,32
St. Elizabeth Seton CSS,M1S 3A4,42
Dieppe Park,M4J 2N2,29
Pine Point Park - Outdoor Pool,M9W 3R2,2
Alexandra Park,M5T 2S4,20
Joseph J. Piccininni Community Centre,M6E 1C5,17
Balmy Beach Community Recreation Centre,M4E 1L6,32
Alderwood Pool,M8W 4Y1,6
Commander Recreation Centre,M1S 3H7,41
Flemingdon Community Centre,M3C 1E3,26
Regent Park North Recreation Centre,M5A 2H4,28
Stephenson Park,M1P 4N7,32
Holy Redeemer CSS,M2H 2G2,24
Coleman Park,M4C 1P8,31
East York Civic Centre,M4C 5R1,29
Eglinton Flats,M6M 1V7,11
St. Dunstan CS,M1L 3E4,35
Mary McCormick Recreation Centre,M6K 2G9,18
Charles G. Williams Park,M6R 1N2,14
Fairhaven Park,M9P 3L8,2
Runnymede Collegiate Institute,M6S 4A3,13
Keele Community Centre,M6P 4B6,13
Hodgson Public School,M4S 1H2,22
Westmount Park - Outdoor Pool,M1P 4N7,2
D.D.Summerville Outdoor Pool,M1P 4N7,32
Little Norway Park,M5V 3G3,20
Gower Park Place,M4B 3N3,31
Northumberland Playground,M6G 3T9,19
Marian Engel Park,M6G 3W7,21
Trinity Community Recreation Centre,M6J 2V5,19
Nelson A. Boylen Collegiate Institute,M6L 2E5,12
Fairbank Memorial Community Centre,M6E 3S2,15
Cliffwood Manor - T.C.H.,M2H 3N2,24
George Anderson Public School,M6M 2Y8,12
St. Lawrence Community Recreation Centre,M5A 4J6,28
