1,Spring,Th,Apr,2,18,9,24.75
2,Winter,Th,Jan,15,11,11,10
3,Summer,M  Tu  W  Th  F,Jun,29,9,2,18
4,Summer,Tu  F,Jun,30,9,13,78
5,Summer,M  Tu  W  Th,Aug,10,18,2,8
6,Winter,Sa,Jan,17,13,11,16.5
7,Fall,Su,Oct,4,8,9,27
8,Spring,F,Mar,27,19,9,2.25
9,Summer,Su,May,31,12,1,4
10,Spring,Tu,Mar,31,11,9,9
11,Spring,Sa,Apr,4,17,14,23
12,Fall,M  W  F,Nov,30,17,6,16
13,Winter,Th,Jan,8,18,8,6
14,Spring,Su  M  W,Mar,30,19,12,85
15,Summer,Tu,Jun,30,19,10,5
16,Winter,Th  Sa,Jan,3,18,14,36
17,Winter,M,Jan,5,9,9,20
18,Fall,Tu,Sep,29,19,13,32.5
19,Fall,F,Oct,2,16,12,30
20,Spring,M,Apr,20,17,9,9
21,Winter,Tu,Jan,20,18,9,6.75
22,Spring,Sa,Apr,4,12,9,15.75
23,Spring,Su  M  Tu  W  Th  F  Sa,Mar,30,20,13,82
24,Spring,Th,Apr,2,17,9,2.25
25,Fall,W,Dec,2,15,7,6.25
26,Spring,Sa,May,2,13,8,8
27,Spring,Sa,Mar,28,15,9,9
28,Winter,W,Jan,14,11,10,15
29,Summer,M,Jun,29,18,8,6
30,Winter,Th,Jan,8,20,9,4.5
31,Fall,M,Sep,28,16,11,20
32,Spring,Th,Apr,2,19,12,21
33,Spring,Th,Apr,2,17,8,8
34,Fall,Su,Sep,27,9,10,10
35,Spring,Th,Apr,2,17,9,4.5
36,Fall,Su  M  Tu  Th  F  Sa,Nov,28,19,6,80
37,Fall,W  F,Sep,30,17,9,18
38,Spring,Tu,Mar,31,15,9,18
39,Summer,Su  M  Tu  W  Th  F  Sa,Jun,26,14,11,168
40,Winter,Tu,Jan,6,20,12,30
41,Fall,M  W  F,Sep,28,9,9,50
42,Winter,Sa,Jan,10,16,9,4.5
43,Winter,Sa,Jan,3,12,9,2.25
44,Fall,W,Sep,30,19,10,10
45,Summer,Tu,Jun,23,9,7,14
46,Summer,Tu  Th,Jun,30,18,4,12
47,Spring,Su  F  Sa,Mar,27,18,14,22.5
48,Fall,Su,Sep,27,14,8,8
49,Spring,Th,Apr,2,9,11,22
50,Spring,Su,Apr,19,9,9,9
51,Fall,M,Sep,21,9,11,22
52,Spring,Th,Apr,2,15,13,19.5
53,Spring,F,Apr,10,12,12,30
54,Winter,Th,Jan,15,19,11,13.75
55,Winter,Th,Jan,29,18,7,3.5
56,Winter,W,Jan,7,14,8,8
57,Fall,Su,Oct,4,21,9,13.5
58,Summer,M  W,Jun,29,17,5,6.75
59,Fall,Su,Oct,4,14,8,14
60,Fall,W,Sep,30,11,9,18
61,Fall,Sa,Oct,3,11,9,13.5
62,Winter,M  Tu  W  Th  F,Jan,2,17,13,274.5
63,Summer,Th,Jul,2,20,10,10
64,Winter,M,Jan,5,19,9,4
65,Fall,Sa,Oct,3,13,9,18
66,Fall,Su  W  Sa,Oct,14,19,10,50
67,Summer,Th,Jun,25,18,8,4
68,Spring,Th,Apr,2,17,9,18
69,Fall,W,Sep,30,20,9,2.25
70,Fall,Su  Th  Sa,Oct,1,18,14,49.5
71,Spring,Tu  F  Sa,Mar,31,18,9,45
72,Spring,M  W,Mar,30,16,9,36.5
73,Fall,Tu  W  Th,Sep,22,6,13,560.5
74,Winter,Su,Jan,11,10,8,8
75,Spring,M,Mar,30,18,9,18
76,Spring,M,Mar,30,19,10,5
77,Fall,W,Sep,30,11,9,6.75
78,Fall,Tu  Th,Sep,29,16,9,18
79,Spring,Th,Apr,2,11,10,5
80,Summer,Su,Jul,5,11,10,10
81,Fall,W,Sep,30,10,9,6.75
82,Summer,Sa,Jul,18,9,7,7
83,Winter,Tu,Feb,3,16,9,9
84,Winter,W,Dec,31,22,11,11
85,Spring,Th,May,7,18,8,6
86,Spring,Th,Mar,26,13,1,1
87,Spring,Sa,Apr,11,12,9,13.5
88,Fall,M,Sep,28,19,18,18
89,Spring,Su,Mar,29,12,9,9
90,Summer,Su  M  Tu  W  Th  F  Sa,Jun,29,6,12,1206
91,Summer,M,Jun,22,18,9,4.5
92,Spring,M,Mar,30,9,10,7.5
93,Winter,Tu,Jan,6,14,9,13.5
94,Fall,Tu  W,Dec,22,15,2,4
95,Spring,M,Mar,30,14,8,8
96,Fall,M,Sep,28,10,12,16.5
97,Fall,Sa,Oct,17,17,9,18
98,Fall,M,Oct,19,10,9,13.5
99,Spring,Sa,May,16,9,9,13.5
100,Winter,Sa,Jan,3,11,12,93
101,Fall,Su,Oct,4,13,11,22
102,Winter,Th,Jan,8,12,9,22.5
103,Winter,Su,Feb,8,14,1,1
104,Fall,Su,Oct,18,13,14,22
105,Winter,M  Tu  W  Th  F,Jan,5,15,9,92
106,Winter,Tu  F  Sa,Jan,10,13,9,45
107,Summer,M  Tu  W  Th  F,Jul,27,10,2,9
108,Winter,F  Sa,Jan,9,9,13,25
109,Summer,Th,Jul,9,10,8,12
110,Spring,F,Apr,24,12,7,3
111,Winter,Su  M  W  F  Sa,Jan,3,19,12,112
112,Summer,M,Jul,6,18,8,6
113,Summer,M  Tu  W  Th  F,Jul,13,11,2,112.5
114,Summer,M  Tu  W  Th  F,Aug,17,9,2,70
115,Winter,M  Tu  W  Th,Jan,19,13,10,35
116,Winter,Su,Jan,11,16,8,4
117,Spring,F  Sa,May,1,17,2,12
118,Fall,F,Oct,30,12,12,22
119,Summer,M  Tu  W  Th  F,Aug,10,15,2,6.75
120,Summer,Sa,Jun,20,12,9,6.75
121,Fall,Sa,Oct,31,8,2,8
122,Spring,M,May,25,9,20,180
123,Fall,Th,Oct,1,18,9,2.25
124,Summer,M  Tu  W  Th  F,Jul,27,9,2,22.5
125,Fall,W,Sep,30,15,9,9
126,Spring,Su  M  Tu  W  Th  F  Sa,Mar,23,12,14,111.5
127,Winter,Su  W  F  Sa,Jan,7,19,12,63
128,Summer,W,Jul,8,19,8,8
129,Spring,Tu,Mar,31,19,11,11
130,Winter,Sa,Jan,3,18,9,4.5
131,Fall,Tu,Oct,6,19,9,13.5
132,Winter,Su,Jan,4,9,9,2.25
133,Summer,Tu,Jul,7,19,9,13.5
134,Spring,M,Mar,30,13,9,4.5
135,Spring,Sa,Mar,28,9,9,22.5
136,Summer,F,Jul,3,9,9,9
137,Summer,M,Jun,29,18,7,3.5
138,Summer,M  W  F,Jun,22,19,4,8
139,Winter,F,Jan,9,17,10,25
140,Spring,F,Jun,12,16,1,6
141,Spring,F,Apr,10,9,9,18
142,Fall,Su,Sep,27,11,9,6.75
143,Spring,W,Apr,8,17,9,13.5
144,Spring,W,Apr,1,16,10,15
145,Winter,F,Jan,9,10,9,22.5
146,Spring,Tu,Apr,7,9,12,36
147,Fall,F,Oct,2,18,12,45
148,Winter,M  Tu  W  F,Dec,29,11,12,136.75
149,Winter,Su  M  Tu  W  Th  F  Sa,Jan,5,7,14,390.4166565
150,Summer,M  W,Aug,31,19,4,7
151,Spring,M,Mar,30,18,12,15
152,Summer,Tu  Th,Jul,9,9,13,26
153,Fall,M,Sep,28,18,9,10
154,Spring,F,Apr,10,10,9,6.75
155,Winter,Su  M  Tu,Jan,5,18,11,57.75
156,Winter,M,Jan,5,16,9,8
157,Spring,Sa,Apr,4,13,9,11.25
158,Summer,Tu  W  Th,Jul,28,9,1,9
159,Winter,Sa,Jan,24,13,9,6.75
160,Spring,M,Apr,13,9,10,18
161,Summer,Tu,Jun,30,18,9,6.75
162,Spring,Tu  Th,May,5,20,4,12
163,Winter,Sa,Jan,10,18,9,9
164,Winter,Tu  Th,Jan,6,10,10,30
165,Spring,Su  Sa,Apr,4,19,12,31.5
166,Fall,Su,Oct,18,12,9,4.5
